Total Train Time (s),Test Actions Max,Exploration Returns Mean,Test Rewards Max,V Predictions Max,Log Pis Mean,Policy mu Max,Test Actions Mean,VF Loss,Policy log std Mean,Exploration Rewards Mean,Log Pis Std,Number of rollouts total,Exploration Rewards Std,Q Predictions Min,QF Loss,Test Returns Mean,Policy mu Std,Policy log std Std,Policy log std Max,Exploration Rewards Min,Test Returns Std,Q Predictions Std,Exploration Returns Max,Test Rewards Mean,Test Actions Min,Exploration Actions Min,Exploration Rewards Max,AverageReturn,Epoch,Policy mu Mean,Num Paths,Test Returns Max,Sample Time (s),Test Actions Std,Exploration Actions Max,Log Pis Max,Q Predictions Mean,Test Rewards Std,Epoch Time (s),Q Predictions Max,Policy mu Min,Policy Loss,Exploration Returns Min,Number of env steps total,V Predictions Mean,Log Pis Min,Test Returns Min,V Predictions Std,Exploration Returns Std,Number of train steps total,Train Time (s),V Predictions Min,Test Rewards Min,Policy log std Min,Exploration Actions Mean,Exploration Actions Std,(Previous) Eval Time (s)
324.3486193260178,0.101801,121.375,1.0,13.2163,-0.345604,1.63347,-0.035316,0.552543,-0.550825,1.0,0.827261,834,0.0,0.423017,0.176052,89.0,0.663465,0.138482,-0.00145174,1.0,1.35400640077,3.75512,263.0,1.0,-0.881695,-0.987575,1.0,89.0,10,-0.0880264,8,91.0,0.8864986309781671,0.13603,0.987347,1.67489,10.8133,0.0,30.385353974066675,13.1158,-1.64507,-0.330438,70.0,11000,11.7523,-3.78472,87.0,2.8973,59.8747390391,10873,27.849852494895458,1.08855,1.0,-0.791834,0.00485953,0.547072,1.6490028481930494
355.272862768732,0.0797343,167.4,1.0,14.5015,-0.0987034,1.87155,-0.00628865,0.238532,-0.663235,1.0,0.834539,839,0.0,0.769028,0.255238,547.5,0.781385,0.114014,-0.358638,1.0,9.5,3.62748,256.0,1.0,-0.905863,-0.987939,1.0,547.5,11,0.024564,5,557.0,0.904657525010407,0.065139,0.979632,2.38097,12.2315,0.0,30.93948393408209,14.2548,-1.83292,0.0284999,66.0,12000,13.1018,-2.94397,538.0,2.17816,76.5835491473,11873,28.36326138395816,1.31137,1.0,-0.840454,0.000726465,0.550045,1.671565025113523
387.1938497591764,0.0708149,179.428571429,1.0,15.7213,-0.184239,1.85046,-0.0159207,0.438263,-0.54888,1.0,0.842091,846,0.0,0.49252,0.242138,391.333333333,0.730508,0.136035,0.017807,1.0,2.62466929134,4.33192,446.0,1.0,-0.863921,-0.991661,1.0,391.333333333,12,-0.0791569,7,395.0,0.903147591277957,0.0970904,0.977875,2.04437,12.6879,0.0,31.870819989591837,15.3171,-1.7653,-0.130134,43.0,13000,14.3362,-3.94564,389.0,2.5001,132.237726563,12873,29.310830073431134,1.66514,1.0,-0.759323,0.00159591,0.559793,1.6568423248827457
418.11561121046543,0.108992,137.714285714,1.0,16.9264,-0.340672,1.94861,-0.0432435,0.14034,-0.642695,1.0,0.773207,853,0.0,0.701878,0.0872792,105.2,0.580445,0.115826,-0.149723,1.0,1.72046505341,4.10188,209.0,1.0,-0.902952,-0.979794,1.0,105.2,13,0.063116,7,107.0,0.8603020161390305,0.162247,0.988455,1.96138,14.5126,0.0,30.945747307501733,16.5835,-1.31889,-0.0344365,55.0,14000,15.4957,-3.03355,101.0,3.01189,52.0596204523,13873,28.378593464381993,0.23726,1.0,-0.870451,-0.0109421,0.563468,1.70685182698071
448.80779345240444,0.13348,195.0,1.0,18.2006,-0.213923,1.57928,-0.0459308,0.157257,-0.637748,1.0,0.721449,858,0.0,-0.010653,0.468662,87.5,0.630392,0.152835,-0.0636502,1.0,1.04083299973,4.2372,477.0,1.0,-0.906487,-0.989623,1.0,87.5,14,0.0560045,5,89.0,0.8442846462130547,0.167949,0.983234,2.10365,15.3696,0.0,30.71976687386632,18.1818,-1.43987,0.141679,59.0,15000,16.3447,-2.2264,86.0,3.12115,169.616036978,14873,28.192493682727218,0.0807751,1.0,-0.891308,-0.00297898,0.562511,1.6829885449260473
479.5737805413082,0.0641728,204.5,1.0,18.9421,-0.132396,1.96287,-0.0177015,0.233068,-0.64192,1.0,0.697179,862,0.0,-0.0521669,0.723324,286.5,0.659703,0.144156,-0.054919,1.0,2.17944947177,3.88071,362.0,1.0,-0.917201,-0.97839,1.0,286.5,15,-0.0111646,4,290.0,0.8732642689719796,0.108188,0.990344,2.65608,16.471,0.0,30.716223446652293,18.3984,-1.87745,0.0570979,119.0,16000,17.6525,-2.3607,284.0,2.70974,96.8516907441,15873,28.18747047521174,1.00987,1.0,-0.920965,0.00771726,0.540132,1.655488702468574
510.09051881637424,0.103598,155.5,1.0,20.2778,-0.152404,1.60234,-0.0121721,0.121933,-0.649056,1.0,0.775256,868,0.0,0.739052,0.691957,288.25,0.655462,0.143603,-0.0484609,1.0,0.829156197589,4.19357,273.0,1.0,-0.911508,-0.976146,1.0,288.25,16,-0.0165564,6,289.0,0.8518575802445412,0.0828435,0.972367,2.32952,17.7537,0.0,30.473844544030726,20.2825,-1.97709,0.0958341,29.0,17000,18.0944,-2.41611,287.0,3.80718,81.0591347927,16873,27.91674530878663,0.651343,1.0,-0.924208,0.00823133,0.549206,1.7052416549995542
541.039187614806,0.95763,212.0,1.0,21.2659,-0.187182,1.79001,0.0167759,0.365439,-0.675935,1.0,0.858029,874,0.0,0.795327,0.871354,236.8,0.728503,0.125677,-0.344605,1.0,3.76297754445,4.40534,339.0,1.0,-0.0387729,-0.989273,1.0,236.8,17,-0.0760974,6,242.0,0.9116303035989404,0.10175,0.987843,2.85791,18.6868,0.0,30.999961825087667,21.2466,-2.02054,0.115777,51.0,18000,19.8809,-2.72432,232.0,2.59105,99.6895180047,17873,28.34006205946207,1.34717,1.0,-0.91033,-0.0254054,0.553669,1.7482694620266557
572.2987620448694,0.962053,138.333333333,1.0,23.0525,-0.231704,1.33896,0.023429,0.180999,-0.637301,1.0,0.679468,880,0.0,0.447246,0.634013,175.166666667,0.574781,0.149055,-0.0954252,1.0,4.21966296706,4.6152,242.0,1.0,-0.154237,-0.989632,1.0,175.166666667,18,-0.204831,6,182.0,0.9052942078560591,0.138471,0.987429,2.4711,20.0185,0.0,31.28268391173333,22.2957,-2.0331,-0.0121706,49.0,19000,20.79,-1.944,171.0,3.74235,74.2286258049,18873,28.67984596733004,0.417248,1.0,-0.916021,0.00455583,0.547741,1.6975437365472317
603.2056520096958,0.159138,283.75,1.0,24.105,-0.272945,1.63009,-0.0139943,0.232583,-0.654163,1.0,0.678969,884,0.0,1.98501,0.816885,232.2,0.573037,0.122893,-0.319419,1.0,0.748331477355,2.95208,513.0,1.0,-0.874936,-0.977076,1.0,232.2,19,-0.000739755,4,233.0,0.8638791143894196,0.0799663,0.986847,2.06903,21.1801,0.0,30.911073965020478,23.3546,-1.70853,-0.0618024,44.0,20000,22.2468,-2.78734,231.0,1.75719,198.834573201,19873,28.369981970638037,8.28497,1.0,-0.95449,0.00270786,0.551355,1.6772128799930215
635.1150251319632,0.0432692,134.428571429,1.0,24.8013,-0.130656,2.17253,-0.013448,0.366707,-0.72561,1.0,0.862808,891,0.0,0.290811,1.14993,372.333333333,0.698239,0.134451,-0.337151,1.0,3.29983164554,5.72703,189.0,1.0,-0.951679,-0.977161,1.0,372.333333333,20,0.121765,7,376.0,0.901246627792716,0.096905,0.994679,3.24583,21.2255,0.0,31.730973944999278,24.0804,-1.37681,0.0857351,78.0,21000,22.5711,-3.23902,368.0,4.19031,38.6665493782,20873,29.15861740335822,0.0625136,1.0,-1.04768,-0.0186614,0.542388,1.6711099138483405
