Test Returns Min,Exploration Returns Std,Policy log std Min,Exploration Returns Max,Q Predictions Std,Epoch,Policy Loss,Exploration Actions Min,Q Predictions Min,V Predictions Mean,Exploration Rewards Max,Log Pis Max,Exploration Actions Std,Exploration Rewards Min,Sample Time (s),Q Predictions Mean,Test Returns Max,V Predictions Min,Train Time (s),Test Returns Std,Policy mu Mean,Exploration Rewards Std,VF Loss,Test Actions Mean,Num Paths,Exploration Actions Mean,Number of env steps total,Total Train Time (s),Policy log std Mean,Test Actions Std,Log Pis Std,Policy log std Max,Policy log std Std,Number of rollouts total,V Predictions Std,Log Pis Mean,(Previous) Eval Time (s),Epoch Time (s),Exploration Returns Min,Policy mu Min,Number of train steps total,AverageReturn,V Predictions Max,Policy mu Std,Log Pis Min,QF Loss,Test Rewards Max,Test Actions Max,Test Rewards Std,Test Rewards Min,Policy mu Max,Exploration Actions Max,Test Rewards Mean,Exploration Rewards Mean,Test Actions Min,Exploration Returns Mean,Test Returns Mean,Q Predictions Max
544.0,89.7966591806,-1.00129,388.0,4.42963,20,0.128696,-0.990541,-0.719485,21.9488,1.0,2.79957,0.530926,1.0,0.8795031122863293,21.4588,546.0,-2.04024,34.84667777456343,1.0,0.136917,0.0,0.377611,-0.0150578,5,0.0125875,21000,723.9139288542792,-0.745189,0.104367,0.966968,-0.439436,0.0814378,708,3.53915,-0.195963,2.029667790979147,37.75584867782891,110.0,-1.95147,20873,545.0,23.5452,0.729956,-2.45087,5.31384,1.0,0.0468669,0.0,1.0,1.77036,0.994202,1.0,1.0,-0.96546,238.4,545.0,24.2381
421.0,84.5313879902,-1.00498,326.0,4.6716,21,0.114343,-0.976732,0.0562837,23.3051,1.0,2.76427,0.526591,1.0,0.8904008595272899,22.8872,498.0,0.834374,35.10169903934002,32.6224190124,-0.0576406,0.0,0.405867,0.0118949,6,0.00352805,22000,761.7852482311428,-0.732296,0.134512,0.71357,-0.20415,0.104019,714,3.65687,-0.188356,1.705845502205193,37.6979454010725,73.0,-1.57573,21873,465.666666667,24.8639,0.646845,-2.1696,1.67548,1.0,0.95887,0.0,1.0,1.99638,0.972765,1.0,1.0,-0.972481,164.333333333,465.666666667,25.2422
762.0,50.6526159246,-1.00049,226.0,4.33319,22,-0.00988082,-0.970456,-0.938082,25.1954,1.0,2.38988,0.523025,1.0,0.9017965663224459,23.9794,777.0,1.41685,34.942732602357864,7.5,-0.0417662,0.0,0.323923,-0.00631573,4,-0.00502509,23000,799.5399117516354,-0.736541,0.0673055,0.80042,-0.430013,0.0944386,718,2.93334,-0.214941,1.8805527789518237,37.725081947632134,101.0,-1.92471,22873,769.5,26.4541,0.6181,-3.8731,0.288749,1.0,0.0411233,0.0,1.0,1.35465,0.986375,1.0,1.0,-0.956057,155.25,769.5,26.1734
990.0,206.839913943,-0.925317,586.0,3.42042,23,-0.189466,-0.974724,1.0441,26.2491,1.0,1.14372,0.510674,1.0,1.3047184934839606,25.1891,999.0,0.904882,37.66677793674171,4.5,0.0500407,0.0,0.408894,-0.00324263,4,0.00108085,24000,840.4815519619733,-0.721619,0.0449385,0.68167,-0.535723,0.0684522,722,2.65068,-0.255531,1.9081087838858366,40.87960521411151,90.0,-2.14274,23873,994.5,27.3544,0.586467,-3.64522,0.260857,1.0,0.040642,0.0,1.0,1.31241,0.995676,1.0,1.0,-0.959551,307.5,994.5,27.1177
609.0,80.3996851673,-0.981056,314.0,5.42765,24,0.0239379,-0.986927,-1.24385,26.6782,1.0,3.32607,0.526859,1.0,1.2213005609810352,25.3704,714.0,-2.79939,37.67994994670153,52.5,0.104085,0.0,0.157571,-0.0112227,8,-0.0015121,25000,881.1170364012942,-0.724561,0.0860055,0.872584,-0.42743,0.0907659,730,3.47343,-0.0629737,1.9701555520296097,40.87140605971217,55.0,-2.1975,24873,661.5,28.111,0.674242,-2.28718,2.7644,1.0,0.0520117,0.0,1.0,1.85656,0.994945,1.0,1.0,-0.967151,144.875,661.5,28.1764
837.0,71.9222187892,-1.08815,259.0,5.45318,25,-0.22172,-0.966126,-1.78272,27.4765,1.0,3.26389,0.534863,1.0,1.2669482734054327,26.3415,918.0,-1.63956,38.037511656060815,40.5,0.0645998,0.0,0.67201,0.00728093,6,-0.00538706,26000,922.2992072924972,-0.768786,0.0922931,0.850684,-0.300633,0.123745,736,3.03902,-0.159309,1.7355414545163512,41.0400013839826,35.0,-1.34839,25873,877.5,28.859,0.607881,-4.43086,1.18323,1.0,0.980104,0.0,1.0,2.18591,0.995572,1.0,1.0,-0.92514,168.166666667,877.5,28.9155
605.0,36.898509455,-1.12665,206.0,4.28116,26,-0.228709,-0.979872,0.503465,28.4824,1.0,3.60748,0.531019,1.0,1.1603700807318091,28.1885,620.0,2.15022,37.2074666954577,7.5,-0.00469307,0.0,1.08614,-0.00936685,4,0.00343141,27000,962.3633079612628,-0.775684,0.0837758,1.08992,-0.510843,0.111289,740,3.46325,-0.211964,1.8769066138193011,40.24474339000881,124.0,-2.36235,26873,612.5,29.9892,0.661684,-5.50402,0.273146,1.0,0.0427848,0.0,1.0,1.63517,0.992441,1.0,1.0,-0.971489,162.0,612.5,30.3362
610.0,177.182266482,-1.04932,584.0,5.79892,27,0.0276048,-0.991822,-0.586452,29.4897,1.0,3.18388,0.521019,1.0,1.438903913833201,28.4722,744.0,16.3991,39.10073141939938,67.0,0.114799,0.0,0.790514,-0.00972346,3,-0.00548066,28000,1004.8155853934586,-0.787638,0.0841866,0.923372,-0.520323,0.121256,743,1.93651,-0.0735168,1.6973352506756783,42.23697058390826,199.0,-2.04211,27873,677.0,30.9953,0.702955,-3.066,1.41714,1.0,0.0481732,0.0,1.0,2.17132,0.988973,1.0,1.0,-0.975857,333.666666667,677.0,31.481
596.0,93.3648756225,-1.25388,392.0,5.52447,28,0.181284,-0.995748,0.257873,30.8674,1.0,2.02869,0.535063,1.0,1.2917026756331325,29.268,728.0,12.5831,39.05200118664652,66.0,-0.0460234,0.0,0.925409,-0.00138338,4,-0.0258496,29000,1047.123074280098,-0.847945,0.0833618,0.779263,-0.44017,0.145598,747,2.09942,-0.122487,1.9142272807657719,42.257931143045425,190.0,-1.85041,28873,662.0,32.4236,0.677178,-3.0647,0.91987,1.0,0.449488,0.0,1.0,2.01261,0.96508,1.0,1.0,-0.967625,289.0,662.0,32.2105
362.0,41.9142643447,-1.03278,269.0,6.78822,29,-0.173063,-0.986582,-5.19727,30.3236,1.0,2.99682,0.533833,1.0,1.2301097763702273,29.6119,486.0,-4.74728,37.670290413312614,58.2198896903,0.0155339,0.0,0.62606,-0.0165619,6,-0.000500524,30000,1087.7609532317147,-0.708815,0.0977007,0.740969,-0.477638,0.126096,753,5.98873,-0.144438,1.9658143920823932,40.866214581765234,148.0,-2.05248,29873,444.333333333,33.0881,0.723347,-2.30442,3.69948,1.0,0.0978681,0.0,1.0,2.13224,0.984428,1.0,1.0,-0.989093,176.833333333,444.333333333,32.9122
379.0,70.6582149034,-1.07324,253.0,6.40227,30,0.2004,-0.975234,0.390954,31.8551,1.0,2.92173,0.529982,1.0,1.3188519133254886,30.8427,379.0,4.45398,38.16781681124121,0.0,0.0323516,0.0,0.773211,-0.0123146,6,-0.00368856,31000,1128.8766702581197,-0.734109,0.0943759,0.875381,-0.385448,0.116458,759,4.72732,-0.15273,1.7352322610095143,41.22190098557621,58.0,-2.46119,30873,379.0,34.7416,0.728835,-3.41767,1.30463,1.0,0.0651339,0.0,1.0,1.87276,0.991531,1.0,1.0,-0.972271,176.5,379.0,34.0154
530.0,118.577769839,-1.17947,383.0,5.34476,31,0.540557,-0.998001,1.24568,32.6977,1.0,3.6947,0.545039,1.0,1.26571564655751,31.9678,530.0,-1.56432,38.996579779312015,0.0,0.000694953,0.0,2.45377,-0.0107807,4,-0.0152701,32000,1170.7680639568716,-0.773542,0.090959,0.988278,-0.342808,0.154925,763,3.85457,0.0125261,1.6331022903323174,41.89539771620184,91.0,-2.46,31873,530.0,35.0837,0.729356,-3.91058,2.94932,1.0,0.0748059,0.0,1.0,2.22512,0.99241,1.0,1.0,-0.970593,224.25,530.0,35.4775
304.0,93.8004830065,-1.08738,316.0,6.77195,32,0.147418,-0.99727,-0.665114,34.3022,1.0,1.95157,0.52655,1.0,1.2922598961740732,32.9202,315.0,-0.795611,37.80803556740284,4.08503365959,0.0264796,0.0,0.390854,0.025005,7,-0.0281538,33000,1211.6022590072826,-0.739772,0.135662,0.774753,0.035422,0.16892,770,5.38246,-0.1197,1.6263419538736343,40.72663741745055,24.0,-1.86666,32873,308.25,36.5578,0.647063,-3.02486,1.92941,1.0,0.973237,0.0,1.0,1.69181,0.952875,1.0,1.0,-0.0945834,146.428571429,308.25,36.5647
471.0,87.9872718068,-1.11871,365.0,3.94084,33,-0.144284,-0.996432,9.99695,35.8504,1.0,2.37004,0.537208,1.0,1.231361080892384,34.1854,479.0,27.2705,37.95690154470503,3.29983164554,0.0120858,0.0,1.16583,0.0081355,5,0.014759,34000,1252.539015064016,-0.73278,0.0732605,0.722977,-0.371095,0.139528,775,2.30613,-0.136526,1.7355782594531775,40.923840885050595,121.0,-1.766,33873,475.333333333,38.1705,0.608796,-2.2165,2.06984,1.0,0.968254,0.0,1.0,1.92622,0.995026,1.0,1.0,-0.0417338,193.8,475.333333333,37.2956
585.0,129.447114899,-1.08562,431.0,6.35292,34,-0.0337245,-0.99122,0.0103684,35.5884,1.0,3.13299,0.543418,1.0,1.3219134900718927,34.1385,587.0,2.39915,38.604674632661045,1.0,-0.0547326,0.0,1.7228,-0.00798192,6,-0.00123757,35000,1294.2040604585782,-0.724123,0.0758971,0.829223,-0.324405,0.162713,781,5.43157,-0.124652,1.7477166596800089,41.674304782412946,19.0,-2.14654,34873,586.0,38.9348,0.687635,-3.07828,3.82607,1.0,0.0923964,0.0,1.0,1.98453,0.991862,1.0,1.0,-0.95954,200.333333333,586.0,38.8909
