Q Predictions Max,Test Returns Mean,Exploration Rewards Max,Epoch Time (s),Policy mu Min,Log Pis Min,Number of rollouts total,Q Predictions Mean,V Predictions Std,Test Rewards Std,Exploration Returns Min,Epoch,Q Predictions Min,Log Pis Std,Test Actions Std,Train Time (s),Test Returns Min,Exploration Returns Mean,VF Loss,Policy log std Std,V Predictions Max,Exploration Returns Max,Test Returns Std,Test Actions Mean,AverageReturn,Number of train steps total,Test Returns Max,V Predictions Mean,Policy log std Max,Q Predictions Std,Exploration Returns Std,Policy mu Mean,Exploration Rewards Std,Test Actions Max,Num Paths,Policy Loss,Policy mu Std,Exploration Rewards Mean,Policy mu Max,Policy log std Min,Number of env steps total,Exploration Actions Mean,Log Pis Max,Exploration Actions Min,(Previous) Eval Time (s),Total Train Time (s),Exploration Actions Max,Test Rewards Mean,Policy log std Mean,Test Rewards Max,Sample Time (s),Test Actions Min,Exploration Actions Std,Test Rewards Min,V Predictions Min,QF Loss,Exploration Rewards Min,Log Pis Mean
101.426,7.32116788321,20.0,10.670966655015945,-0.0120118,-1.37379,4082,99.9733,0.510581,0.0,60.0,20,98.3393,0.117419,0.00153704,9.201621556654572,7.0,109.297297297,0.244723,0.0022923,101.906,260.0,0.466925126766,-0.08062,7.32116788321,20873,8.0,100.256,-0.128592,0.580918,51.6960267514,-0.00636204,0.0,-0.0783872,185,0.299434,0.00343214,20.0,0.00418457,-0.139271,21000,0.02962,-0.519437,-0.990415,0.9557609893381596,216.60980077739805,0.990693,1.0,-0.134197,1.0,0.5135841090232134,-0.0829567,0.597425,1.0,98.7891,1250.54,20.0,-0.692836
104.513,5.0,20.0,10.61981416027993,-0.129417,-1.30305,4268,102.938,0.751552,0.0,60.0,21,100.471,0.150934,0.00989545,9.121890749782324,5.0,107.52688172,0.281852,0.00215,105.61,360.0,0.0,0.198835,5.0,21873,5.0,103.896,-0.130235,0.842308,60.2799189798,-0.07819,0.0,0.214071,186,-0.136845,0.0131915,20.0,-0.0532757,-0.136303,22000,-0.0197463,-0.330383,-0.992914,0.9742574002593756,227.2689821589738,0.995097,1.0,-0.132894,1.0,0.5236660102382302,0.184403,0.590317,1.0,101.728,1767.63,20.0,-0.678118
103.664,9.50943396226,20.0,10.389974312856793,0.169266,-1.34275,4455,102.207,0.520269,0.0,60.0,22,100.338,0.262722,0.00661976,8.8625941965729,9.0,106.844919786,0.156721,0.00521491,104.018,460.0,0.499910992434,0.0504906,9.50943396226,22873,10.0,102.603,-0.129271,0.578578,63.3823176928,0.198436,0.0,0.0648276,187,0.241595,0.0206994,20.0,0.278569,-0.149351,23000,-0.0588356,-0.127968,-0.986926,1.0141299096867442,237.62447931990027,0.994082,1.0,-0.138606,1.0,0.5132502065971494,0.04,0.583699,1.0,100.714,1737.41,20.0,-0.656107
101.584,5.0,20.0,10.726277146488428,0.0202197,-1.02315,4649,100.244,0.51798,0.0,60.0,23,99.3087,0.122041,0.00281729,9.215412380173802,5.0,102.783505155,0.280577,0.00272958,102.831,320.0,0.0,0.22815,5.0,23873,5.0,101.425,-0.1165,0.404848,57.2432369938,0.0503704,0.0,0.233548,194,-0.328649,0.0261511,20.0,0.139824,-0.127376,24000,0.111584,-0.328781,-0.988317,0.9800712652504444,248.398341932334,0.989835,1.0,-0.124224,1.0,0.5307935010641813,0.223623,0.585075,1.0,100.329,1645.15,20.0,-0.684281
105.56,7.73846153846,20.0,10.385621509514749,0.218022,-1.03306,4834,103.441,0.347183,0.0,60.0,24,102.271,0.264518,0.00352454,8.831634749658406,7.0,108.540540541,0.0622114,0.00278432,106.441,340.0,0.43947251868,-0.0723333,7.73846153846,24873,8.0,104.322,-0.144303,0.509744,58.2495074075,0.231844,0.0,-0.0674084,185,-0.0529688,0.00925984,20.0,0.278825,-0.158181,25000,-0.048175,-0.0918068,-0.995314,1.0278438236564398,258.77003465406597,0.996218,1.0,-0.147596,1.0,0.5261429361999035,-0.0784053,0.593593,1.0,103.39,1571.07,20.0,-0.629432
106.817,4.2905982906,20.0,10.541128555312753,-0.0893058,-1.56101,5036,103.304,1.74586,0.0,60.0,25,98.6344,0.142966,0.0139744,9.00474813580513,4.0,99.0099009901,0.0716512,0.00149066,107.788,600.0,0.454038461036,-0.247004,4.2905982906,25873,5.0,104.025,-0.130555,1.54196,61.4914459236,-0.0680827,0.0,-0.231108,202,-0.0268893,0.00769384,20.0,-0.0554611,-0.135562,26000,-0.18168,-0.404086,-0.990695,1.0142674017697573,269.31451635994017,0.980458,1.0,-0.133645,1.0,0.5221130177378654,-0.267487,0.569067,1.0,98.8652,1900.58,20.0,-0.705041
103.635,6.68,20.0,10.519254955463111,-0.313395,-1.09096,5258,102.999,0.162617,0.0,60.0,26,102.257,0.308086,0.0381459,8.972512790001929,6.0,90.0,0.0938584,0.00279241,104.543,320.0,0.466476151588,0.0805486,6.68,26873,7.0,103.966,-0.138479,0.337526,42.437022762,-0.263046,0.0,0.143302,222,-0.168914,0.0143313,20.0,-0.234138,-0.148527,27000,0.220823,-0.0615861,-0.981096,1.0186928007751703,279.80336814466864,0.994328,1.0,-0.144432,1.0,0.5280493646860123,0.034109,0.577811,1.0,103.523,1537.19,20.0,-0.624276
103.601,8.0,20.0,10.70870910026133,0.0186986,-1.07851,5442,102.132,0.663832,0.0,60.0,27,100.42,0.129005,0.0250691,9.199449739418924,8.0,108.804347826,0.0352929,0.00339797,104.042,320.0,0.0,-0.0497958,8.0,27873,8.0,102.69,-0.129016,0.711385,60.2773010724,0.0881507,0.0,-0.0280455,184,0.110997,0.0440124,20.0,0.145988,-0.139755,28000,0.0206393,-0.29932,-0.998594,0.9882479896768928,290.56169751286507,0.993343,1.0,-0.135651,1.0,0.521011371165514,-0.106686,0.607435,1.0,101.029,1860.53,20.0,-0.687493
103.015,23.8372093023,20.0,10.926329913549125,-0.305133,-1.05686,5640,100.461,0.78998,0.0,60.0,28,98.0553,0.163666,0.00136584,9.355096908286214,18.0,100.909090909,0.70193,0.00282244,102.667,460.0,4.61509269507,0.00173906,23.8372093023,28873,40.0,100.694,-0.124138,1.00902,51.6122080361,-0.116382,0.0,0.0031017,198,0.256637,0.0832502,20.0,-0.027753,-0.136345,29000,0.00429381,-0.159406,-0.993025,1.0378233697265387,301.4243002003059,0.993099,1.0,-0.129807,1.0,0.5334096355363727,-0.00503523,0.597539,1.0,99.0291,1601.44,20.0,-0.668834
103.966,6.07272727273,20.0,10.527480349875987,-0.0239277,-0.953403,5829,102.996,0.45778,0.0,60.0,29,102.155,0.0906885,0.00153158,9.027959160506725,6.0,105.502645503,0.208021,0.000916656,105.153,360.0,0.259688306492,-0.116086,6.07272727273,29873,7.0,104.072,-0.129866,0.368139,56.2626704684,-0.00555837,0.0,-0.114061,189,-0.270258,0.0111773,20.0,0.0111642,-0.13297,30000,-0.0203127,-0.496182,-0.990246,0.9745258241891861,311.9631911497563,0.990354,1.0,-0.131573,1.0,0.5249953651800752,-0.119499,0.590289,1.0,103.113,1819.36,20.0,-0.682747
