Total Train Time (s),Policy mu Max,Number of train steps total,Log Pis Mean,Policy log std Std,Epoch,Exploration Rewards Std,Test Rewards Min,Test Returns Max,Test Actions Min,Q Predictions Std,Test Actions Mean,V Predictions Min,Exploration Rewards Max,Q Predictions Min,Test Rewards Std,QF Loss,Exploration Returns Std,Policy Loss,VF Loss,Policy mu Mean,Test Returns Mean,Exploration Actions Max,Train Time (s),Exploration Returns Mean,Policy log std Min,Policy log std Max,Exploration Rewards Min,Test Returns Std,Q Predictions Max,Policy log std Mean,Test Actions Std,Test Rewards Mean,Number of rollouts total,Log Pis Std,V Predictions Std,Policy mu Std,Exploration Returns Max,Exploration Returns Min,Log Pis Min,Num Paths,Test Actions Max,Q Predictions Mean,Exploration Actions Mean,Test Returns Min,V Predictions Max,Sample Time (s),Epoch Time (s),Policy mu Min,Number of env steps total,Exploration Actions Std,Log Pis Max,AverageReturn,Exploration Actions Min,Exploration Rewards Mean,Test Rewards Max,V Predictions Mean,(Previous) Eval Time (s)
351.3771637119353,2.34353,19873,-0.321179,0.260497,19,0.0,1.0,44.0,-0.0673177,6.13537,0.0645021,24.5711,1.0,-2.45018,0.0,2.43864,18.0283901995,3.80173,38.5681,0.0315002,43.2083333333,0.992415,15.743712125346065,25.2368421053,-1.29586,-0.0784659,1.0,0.498260864296,34.6925,-0.305015,0.140077,1.0,981,0.881712,1.74038,0.675626,78.0,3.0,-1.45282,38,0.988632,27.4583,-0.0102535,42.0,34.942,0.6050964184105396,17.50148193910718,-1.96859,20000,0.657443,3.38696,43.2083333333,-0.999238,1.0,1.0,28.6886,1.1526733953505754
370.28368172980845,2.08918,20873,-0.21174,0.290464,20,0.0,1.0,43.0,-0.954251,5.32896,-0.0666681,24.5217,1.0,0.0656958,0.0,8.33961,21.4117480124,3.78598,27.2881,-0.0468958,41.9166666667,0.995054,17.26750856079161,24.0465116279,-1.29562,-0.0806991,1.0,0.571304550033,34.5224,-0.324603,0.145177,1.0,1024,0.988982,1.67724,0.773787,124.0,3.0,-2.73179,43,0.0869666,27.4864,0.00416382,41.0,35.6482,0.560707364231348,18.984756279736757,-2.38333,21000,0.64924,3.33982,41.9166666667,-0.994583,1.0,1.0,28.5322,1.1565403547137976
392.30559926107526,2.4101,21873,-0.272199,0.291179,21,0.0,1.0,42.0,-0.0881345,5.60452,0.0670382,23.837,1.0,-0.143802,0.0,1.83728,16.8769128895,3.34224,22.3044,0.0341989,41.32,0.994086,20.339566903188825,19.0,-1.25634,-0.112474,1.0,0.545527267879,33.5275,-0.340497,0.141079,1.0,1077,0.920079,1.40006,0.656541,72.0,3.0,-2.73939,53,0.989566,28.2261,-0.00334285,40.0,31.7213,0.6068359995260835,22.03057728521526,-1.68891,22000,0.664092,3.20566,41.32,-0.991535,1.0,1.0,28.1003,1.0841743825003505
409.52372894622386,2.07525,22873,-0.182733,0.293496,22,0.0,1.0,44.0,-0.0445948,7.48497,0.0680004,22.9481,1.0,-0.466029,0.0,6.24821,15.7228984222,4.31404,41.7281,-0.0119356,42.5416666667,0.996055,15.40646764729172,19.2549019608,-1.08596,-0.163237,1.0,0.705878097754,35.5236,-0.3986,0.14656,1.0,1128,1.08571,1.69384,0.794886,58.0,3.0,-3.47671,51,0.99226,26.4701,0.0189795,42.0,34.59,0.5724322777241468,17.049434831365943,-1.95488,23000,0.645389,2.98164,42.5416666667,-0.992453,1.0,1.0,28.2322,1.0705349063500762
428.1191182201728,2.01703,23873,-0.260661,0.250128,23,0.0,1.0,45.0,-0.973324,5.34116,-0.0633992,23.0523,1.0,0.121074,0.0,9.36774,16.5149472971,3.10964,23.0243,0.0162871,43.6086956522,0.997405,16.710681203752756,18.8148148148,-1.01437,-0.146075,1.0,0.820346185396,34.6683,-0.365885,0.136842,1.0,1182,0.905685,1.79777,0.741147,71.0,3.0,-2.07774,54,0.0439316,27.9928,-0.0109353,42.0,33.8414,0.5952914692461491,18.54576440807432,-1.8242,24000,0.639436,2.90349,43.6086956522,-0.99615,1.0,1.0,28.8245,1.2397917350754142
445.84155278559774,1.74376,24873,-0.376626,0.241167,24,0.0,1.0,41.0,-0.0891519,2.71607,0.0685085,22.9945,1.0,11.4642,0.0,5.40915,12.9483343247,1.15367,7.33022,-0.0258188,39.7692307692,0.993837,16.004808056168258,19.4509803922,-1.11103,-0.180861,1.0,0.504418348023,34.6826,-0.386253,0.135782,1.0,1233,0.824382,1.66018,0.599949,50.0,3.0,-3.93936,51,0.994477,27.8518,-0.00970338,39.0,34.5711,0.5901434784755111,17.884582655504346,-1.9001,25000,0.637424,2.78768,39.7692307692,-0.992477,1.0,1.0,28.2249,1.2896311208605766
464.04320434108377,2.76181,25873,-0.14694,0.38151,25,0.0,1.0,42.0,-0.987713,6.98531,-0.0673018,24.2847,1.0,0.0596253,0.0,4.31139,16.7459635709,4.80639,45.2364,-0.125534,41.08,0.995679,16.51645093690604,18.0357142857,-1.52791,-0.152179,1.0,0.795989949685,35.0596,-0.484602,0.135203,1.0,1289,1.00525,1.42572,0.752012,69.0,3.0,-1.57389,56,0.0563143,26.8561,0.00344959,40.0,33.2995,0.5968212019652128,18.240935234352946,-2.05373,26000,0.654732,4.55838,41.08,-0.994806,1.0,1.0,27.888,1.1276630954816937
481.32867946568877,2.08196,26873,-0.306164,0.279998,26,0.0,1.0,40.0,-0.958861,6.28699,-0.0674962,23.3012,1.0,-0.344049,0.0,6.13797,13.0889292289,3.71316,42.4653,0.0961806,38.9615384615,0.996149,15.553680488839746,15.734375,-1.13267,-0.117492,1.0,0.517447078734,31.6607,-0.335524,0.137677,1.0,1353,0.999076,1.40085,0.704566,56.0,3.0,-3.73939,64,0.147195,25.9367,0.000975765,38.0,30.5268,0.5981154488399625,17.241111426614225,-2.08535,27000,0.65725,3.18208,38.9615384615,-0.996854,1.0,1.0,26.9403,1.089315488934517
498.9848136398941,1.96662,27873,-0.306852,0.297092,27,0.0,1.0,39.0,-0.973997,6.4633,-0.0734709,21.3822,1.0,-2.31,0.0,7.38423,14.6053907006,4.03135,37.7029,0.0343228,38.7307692308,0.992667,15.363774476572871,16.9322033898,-1.26518,-0.187656,1.0,0.443560099795,33.3092,-0.449185,0.153217,1.0,1412,0.863993,1.40312,0.581323,60.0,3.0,-4.10328,59,0.124607,25.7619,-5.31308e-05,38.0,32.1127,0.5886235786601901,17.086179322563112,-1.81143,28000,0.665813,2.98716,38.7307692308,-0.996696,1.0,1.0,26.6625,1.1337812673300505
517.0162994619459,2.60545,28873,-0.257709,0.291127,28,0.0,1.0,42.0,-0.977236,4.84403,-0.0691467,23.6383,1.0,-1.41265,0.0,2.25941,11.8210844303,3.30977,23.3404,0.168462,40.12,0.998284,16.325698937289417,15.390625,-1.26064,-0.128841,1.0,0.652380257212,30.9026,-0.369113,0.140629,1.0,1476,0.944243,1.42778,0.696383,57.0,3.0,-2.01007,64,0.0947785,26.3524,-0.00525048,39.0,30.7426,0.5925306081771851,18.62239616550505,-2.06583,29000,0.65032,4.32665,40.12,-0.997804,1.0,1.0,26.6947,1.7041666200384498
