Log Pis Mean,Test Actions Mean,Exploration Returns Max,V Predictions Mean,Test Actions Std,VF Loss,Policy log std Mean,QF Loss,Q Predictions Min,Policy mu Std,Policy mu Min,Test Actions Min,V Predictions Min,Test Rewards Mean,Q Predictions Mean,Test Returns Max,Exploration Rewards Mean,Number of env steps total,Q Predictions Max,Total Train Time (s),Policy log std Std,Number of train steps total,Exploration Rewards Min,Test Returns Std,Policy log std Max,Test Rewards Max,Train Time (s),Q Predictions Std,Exploration Returns Min,Test Returns Min,V Predictions Std,AverageReturn,Policy log std Min,Policy mu Mean,Exploration Rewards Std,Exploration Actions Max,Log Pis Std,Exploration Rewards Max,Test Rewards Std,Exploration Actions Std,Sample Time (s),Test Rewards Min,(Previous) Eval Time (s),V Predictions Max,Exploration Returns Mean,Exploration Returns Std,Log Pis Max,Epoch,Policy mu Max,Epoch Time (s),Test Actions Max,Log Pis Min,Test Returns Mean,Policy Loss,Exploration Actions Mean,Number of rollouts total,Exploration Actions Min,Num Paths
-0.69616,-0.120306,2000.0,394.83,0.00474329,0.970346,-0.129044,26407.9,372.164,0.0273493,-0.139995,-0.128601,371.992,1.0,395.088,6.0,100.0,21000,422.819,263.03823425248265,0.00669672,20873,100.0,0.0,-0.117048,1.0,11.277799203060567,8.02402,300.0,6.0,8.08478,6.0,-0.136594,-0.0784479,0.0,0.977963,0.119926,100.0,0.0,0.579997,0.5395713727921247,1.0,0.9411234110593796,422.679,510.714285714,275.046378278,-0.348424,20,-0.0426795,12.758493986912072,-0.114711,-0.990493,6.0,0.64358,-0.171182,5110,-0.991807,196
-0.676919,0.814375,1600.0,397.06,0.00629659,0.336889,-0.116579,27635.6,363.727,0.01094,-0.225971,0.804809,364.494,1.0,396.015,3.0,100.0,22000,413.247,275.7669704090804,0.00538962,21873,100.0,0.0,-0.108171,1.0,11.192210511304438,5.79496,200.0,3.0,5.88128,3.0,-0.12395,-0.129412,0.0,0.995995,0.174306,100.0,0.0,0.640771,0.5542592667043209,1.0,0.9378224583342671,414.735,376.029962547,176.170156939,-0.26611,21,-0.115264,12.684292236343026,0.820843,-0.940682,3.0,-0.199906,0.291711,5377,-0.996831,267
0.195899,-0.666252,1100.0,408.815,0.0108246,0.582754,-0.41776,30565.9,371.621,0.0282628,1.08402,-0.682346,376.337,1.0,406.634,3.0,100.0,23000,423.263,288.9024198707193,0.0065534,22873,100.0,0.0,-0.40324,1.0,11.569991928525269,7.22996,200.0,3.0,7.09773,3.0,-0.439494,1.13437,0.0,0.992854,1.08501,100.0,0.0,0.676331,0.5591443469747901,1.0,0.9821477113291621,426.982,364.598540146,135.982580457,1.36328,22,1.24307,13.111283986829221,-0.657061,-4.6899,3.0,0.319586,-0.163314,5651,-0.995996,274
-0.159489,-0.0269647,1600.0,398.691,0.010004,0.0587172,-0.292349,26951.2,369.155,0.0315768,-0.885065,-0.049289,371.777,1.0,397.476,11.0,100.0,24000,421.513,302.1328175747767,0.00702566,23873,100.0,0.496078370825,-0.283257,1.0,11.75739512220025,9.5031,300.0,10.0,9.2495,10.4375,-0.3209,-0.790905,0.0,0.993341,0.729611,100.0,0.0,0.615788,0.5418415023013949,1.0,1.0068386849015951,421.456,478.468899522,255.214611331,0.841643,23,-0.727626,13.30607530940324,-0.0155871,-2.3043,10.4375,0.0638981,0.0044061,5860,-0.989005,209
-0.671096,0.0861267,1900.0,395.692,0.00906755,0.650676,-0.129967,25164.3,379.943,0.0303337,-0.147316,0.0719329,379.875,1.0,395.725,7.0,100.0,25000,408.328,315.9232412343845,0.00954927,24873,100.0,0.0,-0.114236,1.0,12.305825893767178,5.5919,300.0,7.0,5.39399,7.0,-0.142236,-0.0685503,0.0,0.998378,0.134218,100.0,0.0,0.608435,0.5422684298828244,1.0,0.931406200863421,408.051,486.341463415,272.134795308,-0.331279,24,-0.011756,13.779500524513423,0.0977441,-0.97388,7.0,0.480972,0.0794037,6065,-0.99744,205
-0.666942,-0.1492,2500.0,401.165,0.00225009,1.41705,-0.118671,24317.9,384.25,0.0186529,0.0288952,-0.155364,386.074,1.0,401.083,6.0,100.0,26000,419.249,329.8493741163984,0.00349616,25873,100.0,0.315076746843,-0.109397,1.0,12.424525293521583,6.98886,200.0,5.0,6.36703,5.88823529412,-0.124197,0.0796567,0.0,0.997578,0.139873,100.0,0.0,0.592492,0.5360386436805129,1.0,0.9425838515162468,418.029,530.85106383,314.888225946,-0.344311,25,0.103366,13.903147788718343,-0.147409,-0.99726,5.88823529412,0.384805,-0.102711,6253,-0.999301,188
-0.682583,0.167553,2100.0,403.844,0.0122299,0.939885,-0.130074,31124.8,388.059,0.0152245,-0.21166,0.150556,388.54,1.0,403.132,5.0,100.0,27000,418.902,342.97318268567324,0.00427334,26873,100.0,0.0,-0.125099,1.0,11.584665874950588,5.28429,200.0,5.0,5.3645,5.0,-0.14044,-0.158313,0.0,0.991474,0.219585,100.0,0.0,0.603541,0.5397141464054585,1.0,0.9658412663266063,418.688,507.070707071,281.142160112,-0.198627,26,-0.146458,13.090221287682652,0.183882,-1.48179,5.0,0.028686,0.0896219,6451,-0.998458,198
-0.688878,-0.0260219,1800.0,404.508,0.00214008,1.47882,-0.127655,24495.8,377.727,0.0150371,0.129958,-0.0296192,379.886,1.0,404.777,13.0,100.0,28000,430.336,356.479634298943,0.00749514,27873,100.0,0.759165449642,-0.106823,1.0,12.011998062953353,9.90333,300.0,11.0,9.13737,11.8117647059,-0.135291,0.177267,0.0,0.993087,0.217437,100.0,0.0,0.600218,0.5379882855340838,1.0,0.9998764460906386,427.834,505.050505051,283.511080564,-0.163286,27,0.192063,13.549862794578075,-0.021764,-1.11541,11.8117647059,0.704056,-0.0891781,6649,-0.993773,198
-0.703604,0.78727,1300.0,411.17,0.0410139,4.65904,-0.115522,31520.8,391.223,0.0175484,-0.0502872,0.751094,389.064,1.0,410.798,3.0,100.0,29000,443.39,370.3908506408334,0.00674065,28873,100.0,0.0,-0.0992563,1.0,12.347904121503234,6.9764,300.0,3.0,6.66583,3.0,-0.124014,-0.0106433,0.0,0.995175,0.111604,100.0,0.0,0.638034,0.5414742613211274,1.0,0.9568573227152228,445.764,420.168067227,188.126469143,-0.465387,28,0.0154971,13.846235705539584,0.846157,-1.17823,3.0,0.29181,-0.129144,6887,-0.997379,238
0.147902,-0.360452,1300.0,412.965,0.0324658,0.310768,-0.354606,27177.6,399.112,0.101664,0.963257,-0.415958,398.244,1.0,412.027,4.0,100.0,30000,423.846,384.12159138172865,0.0319307,29873,100.0,0.0,-0.324847,1.0,12.186203375458717,3.94966,200.0,4.0,3.90352,4.0,-0.453847,1.0486,0.0,0.996331,1.0098,100.0,0.0,0.64601,0.5450550140812993,1.0,1.022203166037798,424.588,439.035087719,204.366669521,1.5842,29,1.39149,13.753461555577815,-0.332007,-2.70175,4.0,0.151581,0.0026512,7115,-0.996628,228
-0.639184,0.258296,1700.0,413.495,0.0186828,0.517333,-0.171037,32974.8,381.419,0.0506672,-0.594787,0.241184,383.593,1.0,412.511,5.0,100.0,31000,431.024,397.94510853663087,0.0171308,30873,100.0,0.488742040435,-0.141328,1.0,12.257196911610663,7.45776,300.0,4.0,7.60851,4.60550458716,-0.204557,-0.415969,0.0,0.987875,0.473526,100.0,0.0,0.584101,0.538449676707387,1.0,0.9998961733654141,433.836,501.507537688,247.901217751,0.306528,30,-0.344415,13.795542761683464,0.300395,-2.12116,4.60550458716,-0.200916,-0.17954,7314,-0.997429,199
-0.581324,-0.431345,2000.0,411.589,0.0213703,3.21717,-0.145025,30604.4,384.914,0.0546806,0.243398,-0.4664,387.67,1.0,410.883,4.0,100.0,32000,420.975,411.4375371700153,0.00676545,31873,100.0,0.367456720992,-0.138914,1.0,11.924499705433846,4.63542,200.0,3.0,3.74938,3.83908045977,-0.170793,0.294627,0.0,0.997294,0.347907,100.0,0.0,0.628148,0.5399302272126079,1.0,1.028384112752974,420.274,455.454545455,226.469489671,0.245785,31,0.483986,13.492814045399427,-0.404399,-1.29495,3.83908045977,0.0679992,0.0744087,7534,-0.994999,220
-0.558762,0.865094,3900.0,417.376,0.0286514,0.153071,-0.18155,37983.4,391.119,0.0640658,-0.710911,0.839085,391.688,1.0,416.852,3.0,100.0,33000,438.722,425.1602713931352,0.0147626,32873,100.0,0.0,-0.166575,1.0,12.162710316479206,5.69755,300.0,3.0,5.68628,3.0,-0.225669,-0.500686,0.0,0.997352,0.549084,100.0,0.0,0.594335,0.5416968362405896,1.0,1.0284835351631045,439.406,469.953051643,341.549215107,0.540666,32,-0.421768,13.7328906878829,0.906082,-2.97914,3.0,0.263418,0.215387,7747,-0.99522,213
0.541987,-0.682099,1200.0,422.506,0.0300236,0.432737,-0.437934,33165.1,399.145,0.08674,1.16875,-0.726128,399.837,1.0,419.874,3.0,100.0,34000,442.817,438.80922047887,0.0271937,33873,100.0,0.0,-0.401852,1.0,11.97021109610796,5.3602,200.0,3.0,5.07313,3.0,-0.515417,1.26596,0.0,0.994521,0.93786,100.0,0.0,0.640904,0.544462532736361,1.0,1.018593187443912,443.715,382.375478927,141.947688857,1.87887,33,1.58725,13.533266816288233,-0.659531,-2.49894,3.0,0.278908,0.151928,8008,-0.986827,261
-0.190396,0.0134312,1700.0,417.424,0.00740237,0.153212,-0.269134,30535.5,380.963,0.0658961,-1.06016,0.00601789,381.26,1.0,415.305,17.0,100.0,35000,443.581,452.4872949151322,0.00867438,34873,100.0,1.04307560669,-0.255584,1.0,12.099504821933806,11.763,200.0,13.0,10.9893,14.5507246377,-0.30407,-0.813052,0.0,0.961529,0.74346,100.0,0.0,0.530581,0.5494803283363581,1.0,1.1346786422654986,442.885,386.486486486,200.796701802,0.809264,34,-0.733615,13.783663792535663,0.039632,-2.31297,14.5507246377,-0.229396,-0.46476,8267,-0.996292,259
-0.707309,0.834578,1400.0,417.386,0.0159138,3.07869,-0.121768,26024.3,407.047,0.0327571,0.00603839,0.815434,408.244,1.0,415.215,3.0,100.0,36000,429.547,466.340022793971,0.0014177,35873,100.0,0.0,-0.120514,1.0,12.280776992440224,2.61623,200.0,3.0,2.73197,3.0,-0.12428,0.0571247,0.0,0.997017,0.19651,100.0,0.0,0.525461,0.542366549372673,1.0,1.0294606452807784,432.883,393.700787402,198.913597155,-0.346289,35,0.0969847,13.852604187093675,0.8555,-2.21815,3.0,-0.970831,0.442652,8521,-0.952941,254
0.315451,0.269718,1700.0,411.544,0.00101667,0.215837,-0.41104,32361.5,391.051,0.0523222,1.11119,0.26845,395.891,1.0,409.259,4.0,100.0,37000,423.531,479.64901756867766,0.0210045,36873,100.0,0.0,-0.388204,1.0,11.741121713072062,4.49006,300.0,4.0,3.41646,4.0,-0.509023,1.18303,0.0,0.994805,1.01873,100.0,0.0,0.615897,0.5332521544769406,1.0,1.0302590718492866,423.719,442.477876106,200.576739109,1.59038,36,1.43754,13.304632939398289,0.271601,-4.38653,4.0,0.0308901,0.0715793,8747,-0.991686,226
-0.653174,-0.814624,1400.0,412.397,0.0111572,0.98952,-0.14874,33978.9,388.837,0.0176212,0.246132,-0.829396,388.811,1.0,411.645,3.0,100.0,38000,424.967,493.20274653844535,0.00222876,37873,100.0,0.0,-0.1457,1.0,11.965549217537045,6.40785,200.0,3.0,6.08838,3.0,-0.153854,0.273573,0.0,0.984979,0.32256,100.0,0.0,0.551528,0.5400242293253541,1.0,1.0345267904922366,424.581,413.636363636,205.954741077,-0.0532098,37,0.338153,13.540100237354636,-0.800578,-1.45346,3.0,0.104501,-0.364763,8989,-0.997771,242
0.379311,-0.475937,1400.0,417.494,0.0733261,0.431664,-0.387239,30361.8,402.06,0.037623,-1.26393,-0.588334,405.32,1.0,416.168,4.0,100.0,39000,432.276,506.80633712746203,0.00543159,38873,100.0,0.203931119992,-0.37832,1.0,12.005161392502487,5.73689,200.0,3.0,4.71751,3.95652173913,-0.403441,-1.14293,0.0,0.994991,1.06218,100.0,0.0,0.627382,0.5475247902795672,1.0,1.0486511206254363,430.186,425.531914894,185.962802396,1.46099,38,-1.0821,13.60133730340749,-0.38694,-3.68937,3.95652173913,0.111024,0.109386,9224,-0.995846,235
-0.502712,0.472124,2100.0,416.276,0.0287802,1.93593,-0.145775,33165.4,397.185,0.134949,-0.900898,0.434983,400.558,1.0,415.318,3.0,100.0,40000,427.49,521.1398246623576,0.01649,39873,100.0,0.0,-0.109723,1.0,12.754616807214916,3.87897,200.0,3.0,3.46992,3.0,-0.180623,-0.514075,0.0,0.997022,0.603465,100.0,0.0,0.635253,0.54474160913378,1.0,1.0515914037823677,427.079,389.453125,180.726868306,0.949467,39,-0.392265,14.350949820131063,0.506227,-1.7413,3.0,-0.255246,0.225798,9480,-0.996447,256
-0.524626,-0.687495,2400.0,413.388,0.0134576,0.407609,-0.190749,29409.1,397.639,0.039671,0.433759,-0.697948,399.376,1.0,411.82,3.0,100.0,41000,422.78,534.7016457384452,0.00652533,40873,100.0,0.0,-0.177918,1.0,11.938687788322568,3.86702,200.0,3.0,3.71315,3.0,-0.197616,0.515265,0.0,0.988382,0.60266,100.0,0.0,0.633708,0.5475694695487618,1.0,1.035055703483522,424.69,409.387755102,215.599857666,0.353128,40,0.563959,13.521312961354852,-0.667652,-3.06881,3.0,-0.32086,-0.158679,9725,-0.996612,245
-0.229225,0.548314,1600.0,416.299,0.0106114,0.603609,-0.298729,29905.2,398.973,0.0354238,-0.959972,0.538003,400.202,1.0,416.122,3.0,100.0,42000,453.176,548.7377091208473,0.0138326,41873,100.0,0.0,-0.267014,1.0,12.439521568827331,5.5127,200.0,3.0,5.13876,3.0,-0.32674,-0.839913,0.0,0.994132,0.858242,100.0,0.0,0.638471,0.5368568617850542,1.0,1.0754239307716489,453.087,443.555555556,248.311234413,0.998282,41,-0.792204,14.051802361384034,0.563781,-2.83285,3.0,0.520375,0.0109658,9950,-0.997285,225
