Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-2.63658,38.8846153846,1.0,0.606008,20.4844,0.998494,22.6206,0.868486,-0.120079,2.11819,-0.353346,-0.333133,0.0674341,0.276943,0.0,403.04967632424086,16.0,38.8846153846,1.0,22,-0.996725,0.962138,24.8159,385.2847567377612,3.0,-1.44346,0.656037,0.016522,23000,0.640127576042,14.8537847243,-1.79546,21.8216,0.939369,4.66959,2.84445,1.0,9232.218523162417,0.136995,24.7742,63,40.0,1393,1.0,0.0,1.0,20.4877,-1.09251,-0.124903,0.00472858,22873,8.375354596413672,3.21678,9.389564990065992,38.0,86.0,1.0,1.13729
-4.09002,39.2307692308,1.0,0.759126,40.8447,0.999709,22.0194,1.04058,-0.141376,2.4088,-0.282448,-0.244572,0.0676538,0.253082,0.0,402.93198361061513,16.35,39.2307692308,1.0,23,-0.992167,0.954386,24.9404,386.40883174631745,3.0,-1.44754,0.655777,0.00117416,24000,0.696568087549,14.4081284929,-2.2424,20.7246,0.912453,5.91283,4.51111,1.0,9635.635682718828,0.136324,24.4475,60,40.0,1453,1.0,0.0,1.0,19.3819,-0.976164,-0.0761106,-0.0812843,23873,7.370953796431422,3.38572,9.152198067866266,38.0,56.0,1.0,0.819539
-1.66106,37.3703703704,1.0,0.589822,21.5324,0.992508,21.5115,0.787919,-0.198047,2.07174,-0.421165,-0.317963,0.0719241,0.266989,0.0,405.4027632009238,16.6885245902,37.3703703704,1.0,24,-0.997357,0.94189,25.1756,388.3911224612966,3.0,0.0859866,0.634687,-0.00788643,25000,0.482903881867,13.457329021,-2.02591,21.2799,1.1247,4.81668,3.07151,1.0,10040.16215875186,0.15787,24.6259,61,38.0,1514,1.0,0.0,1.0,18.2369,-1.24234,-0.179664,0.0398882,24873,7.8576026652008295,3.03366,9.154038074426353,37.0,55.0,1.0,1.63101
-2.67649,38.8846153846,1.0,0.572096,30.1687,0.995847,21.6925,0.871764,-0.957149,2.15786,-0.384771,-0.397178,-0.0689569,0.332913,0.0,404.3618516465649,18.2363636364,38.8846153846,1.0,25,-0.990421,0.0926289,25.9437,388.2910094363615,3.0,-1.05353,0.624414,-0.00103351,26000,0.697629121047,15.9965492147,-1.82327,20.9552,1.21098,5.1557,3.3199,1.0,10444.206909520552,0.134333,25.0327,55,40.0,1569,1.0,0.0,1.0,18.6618,-1.53757,-0.132617,-0.143147,25873,6.984405681490898,3.3771,9.086436528712511,38.0,66.0,1.0,2.11198
-1.21741,40.92,1.0,0.629326,20.0206,0.991513,21.5005,0.832578,-0.971947,1.99045,-0.364631,-0.277796,-0.0651851,0.323097,0.0,402.2416516914964,16.0491803279,40.92,1.0,26,-0.991423,0.0666655,24.6313,386.4875759948045,3.0,-1.06467,0.638286,-0.0110245,27000,0.976524449259,13.8225596423,-1.92967,21.0749,1.01613,4.23446,2.74432,1.0,10846.924110858701,0.128602,24.1044,61,42.0,1630,1.0,0.0,1.0,18.9053,-1.26256,-0.0922921,0.0179735,26873,6.666200757957995,3.05779,9.087874938733876,39.0,62.0,1.0,0.482946
-2.82527,37.7777777778,1.0,0.591436,22.5789,0.993927,21.259,0.854832,-0.966336,1.90384,-0.346834,-0.408653,-0.0706146,0.283511,0.0,400.0157345524058,15.8571428571,37.7777777778,1.0,27,-0.997002,0.131401,24.8855,383.71989087946713,3.0,-1.88091,0.639174,-0.00124235,28000,0.566557723733,12.0565560679,-2.41481,20.7098,1.09082,4.96475,2.62679,1.0,11247.271589365788,0.142822,24.0411,63,39.0,1693,1.0,0.0,1.0,18.0559,-1.3342,-0.155641,-0.0824427,27873,7.14622659329325,3.85313,9.149617079645395,37.0,53.0,1.0,1.55537
-1.63043,37.8888888889,1.0,0.634769,25.9787,0.997388,21.1716,0.687298,-0.978955,2.37393,-0.270344,-0.38954,-0.073712,0.255162,0.0,403.6457874942571,13.8055555556,37.8888888889,1.0,28,-0.989866,0.120869,25.0511,387.1585704125464,3.0,0.0365034,0.64106,0.00330665,29000,0.566557723733,13.5448215698,-1.94883,20.6227,1.02003,4.89528,2.06278,1.0,11650.192462680861,0.147218,24.7194,72,39.0,1765,1.0,0.0,1.0,18.2018,-1.10097,-0.0683979,0.072615,28873,7.474388794973493,2.5855,9.012828286737204,37.0,69.0,1.0,0.369505
-2.75197,39.9230769231,1.0,0.622059,20.5757,0.996057,21.262,0.984784,-0.0571526,1.47867,-0.35008,-0.364746,0.0678122,0.299205,0.0,401.9051278103143,13.9589041096,39.9230769231,1.0,29,-0.994578,0.940579,24.3247,385.9787867134437,3.0,-0.16917,0.651753,0.00700028,30000,1.03489415747,13.0283551209,-2.17893,20.8998,0.967686,4.0033,2.92101,1.0,12053.468251237646,0.12581,23.9212,73,42.0,1838,1.0,0.0,1.0,19.2893,-1.18552,-0.136565,0.01586,29873,6.748236160725355,3.35234,9.178104936145246,38.0,58.0,1.0,1.53083
-1.88651,41.64,1.0,0.753781,40.8822,0.997065,20.5732,1.02773,-0.957087,1.97136,-0.409748,-0.24465,-0.0636312,0.310344,0.0,400.34028879739344,15.1076923077,41.64,1.0,30,-0.997063,0.0765948,23.9371,382.8353505143896,3.0,-0.721246,0.641487,-0.0114868,31000,2.36440267298,13.5318690243,-2.31824,19.2824,0.93023,5.96277,4.69203,1.0,12453.217349509709,0.122221,23.1809,65,48.0,1903,1.0,0.0,1.0,18.331,-1.28176,-0.172345,-0.0716897,30873,8.119746498763561,3.43205,9.385191784240305,39.0,62.0,1.0,1.05988
-3.06655,42.125,1.0,0.654923,22.6047,0.997866,20.974,0.902649,-0.971986,2.38657,-0.352217,-0.373963,-0.0633256,0.279032,0.0,402.12041759863496,13.2987012987,42.125,1.0,31,-0.991919,0.0664055,23.094,385.29015609435737,3.0,0.489122,0.650104,0.00209382,32000,2.12744956854,12.9625483857,-1.95338,20.3832,0.829381,3.88026,2.7756,1.0,12855.014595841989,0.125337,22.9404,77,46.0,1980,1.0,0.0,1.0,18.9709,-1.09383,-0.126714,0.0411134,31873,7.534079264849424,3.74225,9.296182239428163,39.0,65.0,1.0,0.989785
-2.76129,39.8846153846,1.0,0.820368,31.9203,0.998885,20.4357,1.12033,-0.966103,3.38181,-0.317343,-0.245355,-0.069375,0.241264,0.0,401.1995929284021,15.0606060606,39.8846153846,1.0,32,-0.998203,0.113743,23.0686,384.83533406164497,2.0,0.0826173,0.648599,0.000309147,33000,1.01249589085,12.7206331888,-2.16741,19.6191,0.742996,5.31933,4.26501,1.0,13256.721785863861,0.145697,22.5879,66,42.0,2046,1.0,0.0,1.0,18.7077,-1.07614,-0.0901794,0.15249,32873,7.211235413327813,4.6588,9.153023453429341,38.0,50.0,1.0,0.811079
