Policy mu Mean,Test Returns Mean,Exploration Actions Std,Test Rewards Max,Train Time (s),Number of train steps total,Test Rewards Std,Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Exploration Rewards Mean,Policy log std Mean,Number of env steps total,Total Train Time (s),Log Pis Max,Policy mu Std,Exploration Actions Min,Epoch Time (s),Log Pis Min,Q Predictions Min,Number of rollouts total,VF Loss,Sample Time (s),V Predictions Mean,Exploration Returns Min,Policy mu Min,Exploration Actions Mean,Policy log std Min,Test Returns Min,Log Pis Mean,Test Returns Max,Q Predictions Max,Test Actions Std,Exploration Actions Max,Exploration Rewards Min,V Predictions Std,Exploration Returns Max,Q Predictions Mean,Policy Loss,QF Loss,Exploration Returns Std,Test Rewards Min,Test Rewards Mean,V Predictions Min,Log Pis Std,Test Actions Mean,Num Paths,Test Actions Max,Exploration Rewards Std,V Predictions Max,(Previous) Eval Time (s),Epoch,Test Returns Std,Policy mu Max,Policy log std Max,Policy log std Std,Test Actions Min,Q Predictions Std
-0.0714652,8.0,0.578781,1.0,16.473695014603436,20873,0.0,5.84210526316,8.0,1.0,1.0,-0.129372,21000,367.087500304915,-0.389119,0.00653164,-0.997778,18.17515272460878,-0.896362,8.07975,3684,0.0126664,0.6270424257963896,9.10393,3.0,-0.081655,-0.0165516,-0.131657,8.0,-0.668661,8.0,8.88991,0.00595407,0.989172,1.0,0.144744,26.0,8.4694,0.0491573,12.5452,3.54481487908,1.0,1.0,8.73153,0.126136,-0.0697952,171,-0.0617328,0.0,9.43742,1.0744152842089534,20,0.0,-0.0560429,-0.126988,0.001075,-0.0813901,0.149131
-0.0688445,16.6833333333,0.586243,1.0,16.425346637144685,21873,0.0,5.77906976744,16.6833333333,1.0,1.0,-0.135141,22000,385.1995234852657,-0.372979,0.0138031,-0.991046,18.14566653035581,-2.01411,8.06594,3856,0.0263282,0.6352687459439039,9.20175,3.0,-0.107476,-0.00438909,-0.148516,14.0,-0.699284,21.0,8.96242,8.76832e-05,0.98625,1.0,0.148348,22.0,8.51196,0.0361502,11.7864,3.79381737798,1.0,1.0,8.7455,0.177833,0.01016,172,0.0102418,0.0,9.66615,1.0850511472672224,21,1.76532968278,-0.0565459,-0.13042,0.00367312,0.00978574,0.157772
0.0101741,20.02,0.589726,1.0,16.421080793254077,22873,0.0,5.74285714286,20.02,1.0,1.0,-0.132511,23000,403.32628892268986,-0.513017,0.000307584,-0.985157,18.123511850833893,-1.17242,7.91711,4031,0.0313834,0.6503958320245147,9.25257,3.0,0.00818332,0.048018,-0.136961,15.0,-0.70295,26.0,8.81535,0.000460927,0.996864,1.0,0.150593,17.0,8.4341,-0.075393,9.29042,2.80145734669,1.0,1.0,8.71251,0.104838,-0.0051522,175,-0.00428604,0.0,9.63085,1.0520352255553007,22,2.94271983036,0.0111469,-0.131256,0.0009387,-0.00575156,0.179696
-0.00632023,15.1044776119,0.590277,1.0,16.944319425150752,23873,0.0,5.4402173913,15.1044776119,1.0,1.0,-0.1334,24000,422.1081220060587,-0.519545,0.00184086,-0.978369,18.651444911025465,-1.16024,8.01175,4215,0.0264766,0.6517154099419713,9.00228,3.0,-0.0109351,-0.0135423,-0.142678,14.0,-0.687338,18.0,8.73465,0.000110311,0.995194,1.0,0.107866,18.0,8.4403,0.0875449,9.26102,2.94638908639,1.0,1.0,8.53666,0.0922357,-0.0115896,184,-0.0113877,0.0,9.33897,1.0554100759327412,23,1.03857434371,-0.00426536,-0.130564,0.00235047,-0.0119589,0.123671
-0.0115395,13.2631578947,0.590607,1.0,16.067756824195385,24873,0.0,5.71428571429,13.2631578947,1.0,1.0,-0.142063,25000,440.0064130593091,-0.521475,0.000423449,-0.98639,17.903643265366554,-1.14605,8.09943,4390,0.0101222,0.6495090927928686,9.04527,3.0,-0.0125057,-0.00608502,-0.149685,12.0,-0.671373,15.0,8.85403,0.000361348,0.993171,1.0,0.116953,23.0,8.39841,0.0146988,9.28469,3.43736966358,1.0,1.0,8.69689,0.0900766,0.0197861,175,0.0205041,0.0,9.47236,1.1863773483783007,24,0.800796002879,-0.00992332,-0.140276,0.00140201,0.0192798,0.123547
0.020404,12.575,0.603462,1.0,17.657901738770306,25873,0.0,5.51933701657,12.575,1.0,1.0,-0.133519,26000,459.38642218336463,-0.496635,0.00124458,-0.993743,19.49182610400021,-1.08532,8.13516,4571,0.00878697,0.6525077736005187,9.12631,3.0,0.0186373,0.0075748,-0.139598,11.0,-0.684406,14.0,8.90968,8.99587e-05,0.993224,1.0,0.124681,17.0,8.47776,0.0331013,12.4666,2.80014040733,1.0,1.0,8.79461,0.0905713,0.0224649,181,0.0227317,0.0,9.5663,1.181416591629386,25,0.754569413639,0.0245132,-0.131214,0.00189601,0.0222947,0.131584
0.0233839,9.63461538462,0.578961,1.0,16.932325676083565,26873,0.0,5.01507537688,9.63461538462,1.0,1.0,-0.130157,27000,478.0199956819415,-0.47724,0.00210564,-0.992045,18.62735582329333,-0.926638,7.73179,4770,0.00935037,0.6253980677574873,8.84493,3.0,0.0207873,-0.0693142,-0.135164,9.0,-0.682858,10.0,8.56614,0.00064566,0.989073,1.0,0.127008,15.0,8.1599,0.00736712,11.0841,2.29808175838,1.0,1.0,8.47374,0.0919005,0.0434341,199,0.0445474,0.0,9.26143,1.0696320794522762,26,0.481537847136,0.0300423,-0.127983,0.00160768,0.0423795,0.13416
0.0426386,13.2763157895,0.588319,1.0,15.795441260561347,27873,0.0,5.77586206897,13.2763157895,1.0,1.0,-0.139497,28000,495.59739907830954,-0.466605,0.00274044,-0.992816,17.487285748124123,-2.67574,7.84641,4944,0.0474394,0.6158430362120271,9.24208,2.0,0.0390013,0.0241006,-0.149871,12.0,-0.691093,15.0,9.55446,0.000119943,0.987215,1.0,0.374924,27.0,8.64716,0.10309,13.6542,3.63591489592,1.0,1.0,8.38077,0.200933,0.0196333,174,0.0199457,0.0,10.1935,1.0760014513507485,27,0.954196882069,0.0515455,-0.133843,0.00344385,0.0194459,0.359878
0.0192429,15.9206349206,0.585259,1.0,16.304949663579464,28873,0.0,5.64406779661,15.9206349206,1.0,1.0,-0.14406,29000,513.6579192057252,-0.51018,0.000788404,-0.989394,18.133131460286677,-1.81345,7.7275,5121,0.0254854,0.661658694036305,8.86682,3.0,0.0170677,3.64406e-05,-0.149638,14.0,-0.695142,19.0,8.72767,0.000230655,0.989352,1.0,0.16131,24.0,8.26292,0.0798745,12.0758,3.48894644482,1.0,1.0,8.35653,0.131408,0.0117618,177,0.0123936,0.0,9.34242,1.166523102670908,28,1.4507971241,0.020493,-0.142773,0.00090729,0.0114912,0.171366
0.0121955,10.5578947368,0.588525,1.0,16.695544918067753,29873,0.0,5.30319148936,10.5578947368,1.0,1.0,-0.126572,30000,538.5529479952529,-0.500744,0.000648488,-0.985261,18.469460617750883,-0.999724,8.12696,5309,0.0208596,0.6797761507332325,9.03384,3.0,0.0111046,-0.0435204,-0.132036,10.0,-0.675526,11.0,8.822,0.000643653,0.992165,1.0,0.121015,22.0,8.46338,0.0813207,11.1441,2.971243458,1.0,1.0,8.69515,0.10187,-0.0323892,188,-0.0305598,0.0,9.38421,1.0941395489498973,29,0.49663688893,0.0137888,-0.125168,0.00157438,-0.0330769,0.120037
