Exploration Rewards Std,Policy mu Std,AverageReturn,Test Rewards Std,Test Returns Mean,Policy mu Min,Policy log std Mean,Exploration Returns Mean,Q Predictions Mean,Test Returns Std,Policy log std Max,Epoch Time (s),Total Train Time (s),QF Loss,Exploration Returns Max,V Predictions Mean,Number of env steps total,Log Pis Min,VF Loss,Test Actions Mean,Policy mu Mean,Number of rollouts total,Exploration Rewards Min,Log Pis Std,Policy log std Std,V Predictions Min,Policy log std Min,Sample Time (s),Q Predictions Max,Exploration Returns Min,Number of train steps total,Test Actions Min,Q Predictions Std,V Predictions Std,Exploration Rewards Mean,Exploration Rewards Max,Num Paths,Log Pis Mean,V Predictions Max,Policy mu Max,Test Actions Std,Test Returns Max,Exploration Actions Std,Exploration Actions Min,Exploration Returns Std,Exploration Actions Max,Policy Loss,Train Time (s),Test Actions Max,Test Rewards Min,Test Rewards Mean,Epoch,Log Pis Max,(Previous) Eval Time (s),Exploration Actions Mean,Q Predictions Min,Test Rewards Max,Test Returns Min
0.0,1.08427,20.7346938776,0.0,20.7346938776,-2.01245,-1.59959,32.125,31.3269,0.663186808542,-0.478063,42.21617989987135,767.6692423522472,30.9506,51.0,39.4897,21000,-2.78966,1.71698,0.0374217,0.177879,3488,1.0,1.03143,0.633942,19.4526,-2.32431,0.5468959426507354,44.2431,21.0,83492,-0.467563,10.9015,5.46821,1.0,1.0,32,1.05573,47.8425,2.01485,0.116707,22.0,0.140845,-0.524784,9.16429893663,0.487853,0.0474753,41.18142589647323,0.31845,1.0,1.0,20,2.8633,0.487858060747385,0.0155316,0.95354,1.0,20.0
0.0,1.61999,20.02,0.0,20.02,-3.14079,-1.99373,21.8043478261,188.405,0.677938050267,-0.380954,43.01993280649185,810.6784205352888,1161.86,36.0,237.442,22000,-1.67311,96.8743,-0.0402528,-0.312559,3534,1.0,1.15575,0.897125,58.7226,-3.09639,0.5470462935045362,273.396,16.0,87492,-0.636565,87.5302,45.5044,1.0,1.0,46,2.18196,275.292,3.17423,0.221441,21.0,0.409739,-0.996563,3.98158568596,0.919845,-6.92823,41.96890855953097,0.786149,1.0,1.0,21,5.27973,0.5039779534563422,0.00125069,0.0698335,1.0,19.0
0.0,1.39752,21.6170212766,0.0,21.6170212766,-3.43279,-1.17143,21.4255319149,218.237,0.637588258033,-0.218075,42.83269690629095,853.5215273080394,1047.8,27.0,250.453,23000,-2.18514,59.7984,-0.0441649,0.872384,3581,1.0,1.57798,0.348942,-23.5782,-1.49501,0.5395804429426789,339.067,18.0,91492,-0.70437,99.0978,67.1352,1.0,1.0,47,1.50159,337.583,3.5697,0.241382,23.0,0.537263,-0.967084,2.09096008541,0.961855,-4.50994,41.79964863602072,0.811085,1.0,1.0,22,5.71828,0.49346782732754946,-0.0361588,-34.2777,1.0,20.0
0.0,1.45236,16.5081967213,0.0,16.5081967213,-3.60118,-0.979681,20.8125,186.358,0.617317061763,-0.456489,42.99743327405304,896.5281633567065,411.754,55.0,227.498,24000,-5.76019,82.974,0.0461111,0.573954,3629,1.0,1.48822,0.235167,-13.4267,-1.40484,0.5357120959088206,252.823,12.0,95492,-0.672609,89.8291,53.7582,1.0,1.0,48,1.31675,258.11,3.42192,0.184108,18.0,0.503945,-0.979138,6.77512684383,0.975223,2.82595,41.95732490066439,0.284546,1.0,1.0,23,6.05385,0.5043962774798274,-0.00854047,-51.9188,1.0,15.0
0.0,1.23747,34.3333333333,0.0,34.3333333333,-2.86158,-1.08157,20.5416666667,115.817,0.788810637747,-0.536222,43.119434302672744,939.7430828362703,170.585,43.0,140.495,25000,-4.17175,34.4978,-0.0378855,-0.647557,3677,1.0,1.4956,0.389604,-8.327,-1.76982,0.5354990921914577,185.204,12.0,99492,-0.374213,63.7889,39.036,1.0,1.0,48,1.05495,191.063,3.01001,0.11495,36.0,0.428758,-0.94383,7.97903067769,0.930301,-0.666168,42.07000715099275,0.582726,1.0,1.0,24,5.26231,0.5139280594885349,0.024386,-5.0334,1.0,33.0
0.0,1.34634,46.9090909091,0.0,46.9090909091,-3.55366,-0.84571,46.3181818182,99.3406,0.514259477227,-0.426217,43.87437099497765,983.5072266953066,50.632,52.0,116.967,26000,-3.24786,12.6674,-0.0379419,0.263319,3699,1.0,1.58153,0.227767,-9.75235,-1.32019,0.5344454469159245,147.615,37.0,103492,-0.683028,51.3361,34.2034,1.0,1.0,22,0.733709,145.01,2.94321,0.205346,48.0,0.522987,-0.982184,4.14933032534,0.995399,-0.0626709,42.730297532863915,0.87253,1.0,1.0,25,5.84159,0.6096280151978135,-0.0326075,-5.53598,1.0,46.0
0.0,1.40088,46.5,0.0,46.5,-3.20862,-1.04052,47.5714285714,144.691,0.5,-0.360471,42.96479781251401,1026.4600700186566,207.229,52.0,165.478,27000,-3.71113,27.4047,-0.0303466,0.603723,3720,1.0,1.41385,0.416797,0.296126,-1.82882,0.5225400310009718,209.121,45.0,107492,-0.610865,65.7674,41.9283,1.0,1.0,21,1.14086,207.43,3.02224,0.161967,47.0,0.419261,-0.989461,1.84058553239,0.974256,-4.22369,41.942575422115624,0.891821,1.0,1.0,26,4.56065,0.49968235939741135,-0.0318083,-0.560197,1.0,46.0
0.0,1.45309,49.8095238095,0.0,49.8095238095,-4.0425,-1.33046,45.9523809524,230.857,0.499432784843,-0.513191,43.5539012523368,1070.0192233165726,570.58,48.0,265.137,28000,-2.25475,78.577,-0.0292453,0.573145,3741,1.0,1.46701,0.610067,-24.9774,-2.4662,0.5216583395376801,331.117,44.0,111492,-0.39661,91.3133,65.134,1.0,1.0,21,1.44935,347.71,3.32066,0.137405,51.0,0.359589,-0.96306,1.2901159223,0.957385,-3.95434,42.54406131990254,0.787213,1.0,1.0,27,6.96225,0.4881815928965807,-0.0328953,-3.66387,1.0,49.0
0.0,1.26802,45.5454545455,0.0,45.5454545455,-3.63626,-1.65643,46.5,345.874,0.497929597732,-0.617548,44.48158433753997,1114.4970360845327,2560.88,50.0,413.105,29000,-2.34866,204.377,-0.0294402,0.65393,3763,1.0,1.27786,0.527953,-25.0551,-2.62014,0.5205311179161072,520.257,43.0,115492,-0.419578,171.156,137.197,1.0,1.0,22,1.6278,540.752,3.07425,0.190364,46.0,0.255942,-0.849748,2.06155281281,0.835252,1.54026,43.46735105197877,0.67935,1.0,1.0,28,5.62232,0.4937021676450968,-0.0292093,-6.86068,1.0,45.0
0.0,1.3523,69.0,0.0,69.0,-4.46269,-2.03631,52.7222222222,526.093,0.73029674334,-0.795439,44.50692048575729,1159.0638309875503,4340.08,60.0,590.101,30000,-0.623505,163.674,-0.0404227,0.707392,3781,1.0,1.24062,0.622412,-21.2688,-2.79215,0.5153379263356328,764.876,48.0,119492,-0.967876,239.26,204.497,1.0,1.0,18,1.97214,788.768,3.9926,0.478473,70.0,0.377589,-0.984896,3.08770960702,0.900046,-10.6781,43.50125240627676,0.863371,1.0,1.0,29,6.54509,0.49033015314489603,-0.0398363,-29.555,1.0,68.0
0.0,1.68772,34.9310344828,0.0,34.9310344828,-4.91461,-1.72809,41.4,530.627,0.449600165876,-0.165135,43.87435962166637,1203.0003918083385,6940.89,83.0,609.081,31000,-3.87835,394.529,0.0539622,0.219451,3806,1.0,1.62847,0.593694,-23.1418,-2.41226,0.5226188628003001,860.012,26.0,123492,-0.875568,289.13,256.802,1.0,1.0,25,2.04955,860.554,3.98254,0.249296,36.0,0.486176,-0.993276,18.7509999733,0.973402,9.78306,42.80126921553165,0.724785,1.0,1.0,30,6.88084,0.5504715433344245,0.00631863,-54.8883,1.0,34.0
0.0,1.72932,41.28,0.0,41.28,-4.02814,-1.33774,37.4444444444,491.657,0.530659966457,-0.383962,43.967318365350366,1246.853600235656,9979.16,44.0,603.701,32000,-1.36207,457.525,0.0578222,-1.00872,3833,1.0,1.72245,0.429224,0.565603,-2.31054,0.5240350784733891,1042.8,32.0,127492,-0.824811,332.31,292.943,1.0,1.0,27,2.25977,1394.1,5.05151,0.182825,42.0,0.332534,-0.919616,2.92287698621,0.974529,-15.182,42.82997491862625,0.926382,1.0,1.0,31,9.03351,0.6133083682507277,0.055982,-40.1695,1.0,40.0
0.0,1.53777,43.3333333333,0.0,43.3333333333,-4.12887,-1.55808,42.0416666667,852.263,0.552770798393,-0.328575,43.97580929286778,1290.8280313741416,7071.57,45.0,972.947,33000,-3.1875,1141.62,0.0411814,-0.854854,3857,1.0,1.58557,0.589384,-47.4184,-2.95086,0.5245098397135735,1353.43,38.0,131492,-0.598046,389.925,303.356,1.0,1.0,24,1.97732,1307.77,4.85127,0.115607,44.0,0.28331,-0.8637,2.07121475361,0.926957,-22.1518,42.95181048475206,0.444198,1.0,1.0,32,7.64614,0.4994889684021473,0.0482353,-32.281,1.0,42.0
0.0,1.46592,35.2068965517,0.0,35.2068965517,-3.76617,-1.49466,40.08,705.991,0.549564739673,-0.344401,43.91781477816403,1334.7301963455975,3985.66,45.0,842.748,34000,-1.55131,1174.3,0.0393313,-0.521611,3882,1.0,1.60176,0.567832,-31.0704,-2.80365,0.5194540126249194,1440.1,35.0,135492,-0.674439,530.069,476.17,1.0,1.0,25,1.66133,1436.3,3.66268,0.146366,36.0,0.242708,-0.726124,2.77012635091,0.787337,-7.65953,42.899754067882895,0.582777,1.0,1.0,33,6.39547,0.49860669765621424,0.0389691,-53.741,1.0,34.0
0.0,1.4157,30.6363636364,0.0,30.6363636364,-4.29777,-1.82347,34.5172413793,877.238,0.481045692921,-0.248569,43.63705122098327,1378.383303382434,7759.86,41.0,1039.12,35000,-2.64738,2169.28,0.0450978,-0.795715,3911,1.0,1.66194,0.69263,-452.113,-2.9527,0.5172834098339081,1621.06,30.0,139492,-0.781309,566.85,502.831,1.0,1.0,29,1.92285,1576.14,3.56358,0.168774,31.0,0.34163,-0.850041,2.23792837787,0.82959,-10.4296,42.63631057552993,0.494384,1.0,1.0,34,7.5323,0.4834572356194258,0.0402784,-114.64,1.0,30.0
0.0,1.33886,48.619047619,0.0,48.619047619,-4.44969,-1.60496,38.6923076923,958.16,0.898474393529,-0.264805,44.08713008183986,1422.4690640736371,9115.7,55.0,1090.93,36000,-3.96006,1667.76,0.0292824,-1.01594,3937,1.0,1.60377,0.581915,-389.458,-2.7161,0.518113212659955,1649.72,31.0,143492,-0.803779,551.417,503.054,1.0,1.0,26,1.81691,1592.33,3.73512,0.778398,50.0,0.502913,-0.918353,7.0643701378,0.945429,9.12835,43.0692486660555,0.941365,1.0,1.0,35,6.9026,0.49976820312440395,0.0299052,-194.921,1.0,47.0
0.0,2.11953,293.0,0.0,293.0,-3.94707,-1.38866,63.4,679.183,0.707106781187,-0.366037,43.76075790729374,1466.263699262403,4820.95,116.0,787.354,37000,-1.85424,872.638,0.00436093,-0.501963,3952,1.0,1.97879,0.561666,-235.508,-2.76809,0.513386239297688,1269.76,49.0,147492,-0.623705,503.648,484.747,1.0,1.0,15,2.48219,1293.34,5.629,0.119229,294.0,0.524695,-0.905717,15.5211683409,0.941898,34.7786,42.74829871021211,0.772691,1.0,1.0,36,9.68981,0.49907295778393745,0.0163733,-202.605,1.0,292.0
